label,tp,type,hypermut
CAP257_3100_030WPI_ENV_C2C3_NGS_086_0_004_1,030WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_069_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_096_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_102_0_003_2,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_112_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_000_0_107_3,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_001_0_078_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_003_0_042_2,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_004_0_036_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_005_0_023_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_006_0_013_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_007_0_013_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_008_0_013_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_009_0_013_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_011_0_013_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_012_0_01_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_013_0_01_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_014_0_01_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_015_0_01_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_016_0_01_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_017_0_01_2,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_018_0_01_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_019_0_01_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_020_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_021_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_022_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_023_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_025_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_026_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_027_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_028_0_006_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_029_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_030_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_031_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_032_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_033_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_034_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_035_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_036_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_038_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_039_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_040_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_041_0_003_1,054WPI,NGS,N
